user,churn,age,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,reward_rate,is_referred,R,na,Monthly,Semi-Monthly,Weekly,na_payment_type,credit_score
23547,0,28.0,0,0,1,0,0,96,0,0,5,1,1,1,1,0,0,0,0,0,0,0,0,1.47,1,1,0,0,0,1,0,486.0
58313,0,35.0,47,2,86,47,0,285,0,0,9,1,0,0,0,1,2,0,0,0,0,1,0,2.17,0,1,0,0,1,0,0,561.0
8095,0,26.0,26,3,38,25,0,74,0,0,26,1,0,0,0,1,0,0,0,0,0,0,0,1.1,1,1,0,0,0,0,0,567.0
3120,1,32.0,5,3,111,5,0,227,0,0,17,1,1,1,0,1,0,0,0,0,0,0,0,1.83,0,1,0,0,0,0,0,567.0
41406,0,21.0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0699999999999999,0,0,1,0,0,0,0,475.0
21269,0,28.0,0,0,0,0,2,47,1,0,9,1,1,1,1,0,0,0,0,0,0,0,0,0.87,1,1,0,0,0,0,0,548.0
25788,0,23.0,1,0,87,1,0,125,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,1.0699999999999998,0,0,1,0,0,0,0,658.0
25899,0,41.0,14,0,116,13,0,217,0,0,45,1,1,1,1,0,0,0,0,0,0,0,0,2.17,0,0,0,0,1,0,0,625.0
20839,0,20.0,0,0,135,0,0,286,0,0,21,1,1,1,1,1,5,0,0,0,0,0,0,2.2,1,0,1,0,0,0,0,550.0
13019,0,27.0,2,1,48,2,0,127,0,0,18,1,1,1,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,567.0
30419,1,24.0,6,2,24,6,0,55,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0.9,0,0,1,0,0,1,0,479.0
30693,0,31.0,17,2,62,17,0,180,0,0,22,1,1,1,0,1,0,0,0,0,0,0,0,1.4300000000000002,0,1,0,0,0,0,1,565.0
15359,1,21.0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,637.0
25997,0,37.0,0,0,39,0,0,74,0,0,6,1,1,1,1,0,2,0,1,0,0,0,0,1.33,0,1,0,0,0,0,1,627.0
13813,1,30.0,6,0,11,6,0,20,0,0,3,1,0,0,0,1,2,0,0,0,0,0,0,0.4,0,1,0,0,0,0,0,505.0
19184,1,44.0,0,0,0,0,3,4,3,1,4,1,1,1,1,0,0,0,0,0,0,0,1,0.1699999999999999,0,0,0,1,0,0,0,551.0
34210,1,52.0,0,0,0,0,0,74,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1.3,0,0,1,0,0,0,0,518.0
57598,1,25.0,0,0,0,0,0,32,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0.47,0,0,1,1,0,0,0,529.0
57608,1,22.0,0,0,0,0,1,67,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0.9,0,0,1,0,0,0,0,508.0
46960,0,29.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.25,0,0,1,1,0,0,0,575.0
28827,0,25.0,0,0,3,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.14,0,0,1,0,0,0,0,489.0
25823,1,36.0,0,0,83,0,0,153,0,0,15,1,1,1,1,0,0,0,0,0,0,0,0,0.97,1,0,1,0,0,0,0,582.0
42910,0,45.0,48,0,76,48,0,204,0,0,58,1,1,1,0,1,0,0,0,0,0,0,0,1.93,1,1,0,0,0,1,0,610.0
58305,1,31.0,0,0,0,0,0,63,0,0,2,1,1,1,1,0,2,0,0,0,0,1,0,0.7,0,0,1,0,0,1,0,600.0
2707,0,45.0,0,0,0,0,0,170,0,0,16,1,1,1,0,1,0,0,0,0,0,0,0,1.97,0,1,0,0,0,0,0,554.0
6919,0,28.0,0,0,0,0,0,207,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,2.17,0,1,0,0,0,0,0,597.0
44486,0,24.0,0,0,37,0,0,60,0,0,4,1,1,1,0,1,2,0,0,0,0,0,0,0.77,1,0,1,0,0,0,0,518.0
43254,1,42.0,0,0,0,0,0,5,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.23,0,0,1,0,0,0,1,449.0
16514,0,27.0,0,0,0,0,2,206,0,0,22,1,1,1,0,1,0,0,0,0,0,0,0,2.23,0,1,0,0,0,0,1,590.0
8169,0,26.0,0,0,57,0,0,154,0,0,2,1,1,1,0,1,0,0,0,1,0,1,0,1.3,1,1,0,0,0,0,0,647.0
23859,0,32.0,0,0,87,0,0,112,0,0,8,1,1,1,0,1,0,0,0,0,0,1,0,1.23,1,1,0,0,0,0,0,440.0
2351,0,21.0,1,0,26,1,0,133,0,0,6,1,1,1,0,1,0,0,0,0,0,0,0,1.27,1,0,1,0,0,0,1,603.0
46400,1,38.0,12,2,79,12,0,105,0,0,12,1,1,1,1,0,4,0,0,0,0,0,0,1.23,1,1,0,0,0,0,1,519.0
11790,0,29.0,2,0,57,2,0,185,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,1.53,1,1,0,0,0,0,0,634.0
40595,1,24.0,3,0,56,3,0,93,0,0,8,1,1,1,0,1,0,0,0,0,0,0,0,0.83,0,1,0,0,0,0,0,529.0
36757,0,40.0,0,0,22,0,0,40,0,0,2,1,1,1,0,1,0,0,1,0,0,0,0,0.5700000000000001,1,0,1,0,0,1,0,532.0
49320,1,22.0,0,0,0,0,0,11,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0699999999999999,1,0,1,0,0,0,0,417.0
1826,1,48.0,33,0,16,31,0,185,0,0,14,1,1,1,1,0,2,0,0,0,0,0,0,1.5699999999999998,0,0,0,0,0,0,0,507.0
